benchmark,EleutherAI/pythia-1b,EleutherAI/pythia-2.8b,EleutherAI/pythia-410m,EleutherAI/pythia-6.9b,EleutherAI/pythia-70m,Qwen/Qwen2.5-7B,allenai/OLMo-2-1124-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,google/gemma-2-9b,meta-llama/Llama-3.1-8B,microsoft/phi-4,mistralai/Mistral-7B-v0.3
agieval,0.09463781118392944,0.1415589302778244,0.0668104961514473,0.13686251640319824,0.00027957913698628545,0.3056722581386566,0.25815898180007935,0.0820629820227623,0.03740474581718445,0.30414363741874695,0.24913588166236877,0.34624016284942627
aime2024,0.1857949197292328,0.2564465403556824,0.14657364785671234,0.2862423360347748,0.000680871366057545,0.8619693517684937,0.5162729620933533,0.34442752599716187,0.13375423848628998,0.3792552947998047,0.4923565685749054,0.6338954567909241
arc_challenge,0.1698157638311386,0.2180103361606598,0.11534159630537033,0.25130516290664673,0.00031847917125560343,0.328066349029541,0.32810136675834656,0.05668642371892929,0.040855523198843,0.3935553729534149,0.4524749219417572,0.34409359097480774
bbh,0.11502903699874878,0.16014604270458221,0.08614342659711838,0.16232100129127502,0.0005108207114972174,0.293456494808197,0.2605980634689331,0.07376181334257126,0.05601873621344566,0.212773397564888,0.36967578530311584,0.31823432445526123
gsm8k_test,0.09447096288204193,0.14523282647132874,0.09303855895996094,0.16896918416023254,0.00023011592566035688,0.6450462937355042,0.6898877024650574,0.22710683941841125,0.19817058742046356,0.3582168519496918,0.4781988859176636,0.5847675800323486
hellaswag_val,0.03147352859377861,0.047262128442525864,0.02388729155063629,0.0533442497253418,0.00012838546535931528,0.16782361268997192,0.12050866335630417,0.00445218849927187,0.005687804892659187,0.04830059036612511,0.17403174936771393,0.125248983502388
humaneval,0.45129716396331787,0.5231819152832031,0.3544076979160309,0.5653297901153564,0.0022340496070683002,0.8664006590843201,0.5358288288116455,0.3023640811443329,0.2539961338043213,0.7011060118675232,0.6566404104232788,0.5964154601097107
livecodebench,0.42349693179130554,0.5461006760597229,0.3222503662109375,0.5770523548126221,0.0011101397685706615,0.8378652334213257,0.6815353631973267,0.45814764499664307,0.5941761136054993,0.7369338870048523,0.7080947756767273,0.8601692318916321
math,0.39433321356773376,0.5027133822441101,0.30971014499664307,0.5533775687217712,0.0020610603969544172,0.924680769443512,0.8169825673103333,0.5713788866996765,0.4226242005825043,0.7046195268630981,0.8046377897262573,0.7952188849449158
math500,0.4122909605503082,0.5182431936264038,0.32974889874458313,0.5671735405921936,0.002494220621883869,0.9247186183929443,0.8181421160697937,0.5979017615318298,0.47892871499061584,0.7284919023513794,0.8201575875282288,0.8087037205696106
mbpp,0.33918359875679016,0.3672786355018616,0.2728171944618225,0.4369033873081207,0.002010190859436989,0.3796027898788452,0.14497196674346924,0.030897151678800583,0.11733490973711014,0.3052329123020172,0.4409235417842865,0.2412680983543396
mmlu_test,0.08575938642024994,0.10914918780326843,0.060187168419361115,0.11033192276954651,0.0001715544640319422,0.2675986588001251,0.20804090797901154,0.02017342299222946,0.017031574621796608,0.1872933804988861,0.18426434695720673,0.25810497999191284
truthfulqa_mc,0.31803634762763977,0.36708375811576843,0.2584737539291382,0.3688681423664093,0.002437020419165492,0.2494998276233673,0.4457744061946869,0.055070169270038605,0.06866583228111267,0.32737696170806885,0.2928660213947296,0.3817746639251709
