method,threshold,dev_F1,dev_AUC,val_F1,val_AUC
ngram13_pile,-0.0,0.6674082313681868,0.5016666666666666,0.6604089842440496,0.4934975
ngram13_fineweb,-0.0,0.6672597864768683,0.5013333333333334,0.6622073578595318,0.495
ngram13_self,1.0,1.0,1.0,0.9984977466199298,0.9984925
mink_5,-8.685982942581177,1.0,1.0,1.0,1.0
mink_10,-6.0172834396362305,1.0,1.0,1.0,1.0
mink_20,-4.026683330535889,1.0,1.0,1.0,1.0
mink_30,-2.7019463777542114,1.0,1.0,1.0,1.0
mink_50,-1.601042091846466,1.0,1.0,1.0,1.0
loss_ft,-0.7930809855461121,1.0,1.0,1.0,1.0
loss_base,1.6107047986984253,0.6757369614512472,0.5716991111111112,0.6327880264531848,0.42809699999999995
refmodel_delta,1.0863673739433826,0.998003992015968,0.9999711111111111,0.9924509310518369,0.999932
embsim_self,0.991702675819397,1.0,1.0,1.0,1.0
