model,benchmark,mean_p_contam,p90_p_contam,high_risk_rate,n_items
Qwen/Qwen2.5-7B,math500,0.9247186183929443,0.9802331924438477,0.994,500
Qwen/Qwen2.5-7B,math,0.924680769443512,0.9793078303337097,1.0,1000
Qwen/Qwen2.5-7B,humaneval,0.8664006590843201,0.9619794487953186,0.9878048780487805,164
Qwen/Qwen2.5-7B,aime2024,0.8619693517684937,0.9790878891944885,0.9555555555555556,90
mistralai/Mistral-7B-v0.3,livecodebench,0.8601692318916321,0.9311948418617249,0.99,400
Qwen/Qwen2.5-7B,livecodebench,0.8378652334213257,0.9948132634162903,0.9425,400
microsoft/phi-4,math500,0.8201575875282288,0.9697374105453491,0.94,500
allenai/OLMo-2-1124-7B,math500,0.8181421160697937,0.962856650352478,0.938,500
allenai/OLMo-2-1124-7B,math,0.8169825673103333,0.9545422196388245,0.96,1000
mistralai/Mistral-7B-v0.3,math500,0.8087037205696106,0.9340962171554565,0.972,500
