benchmark,n_model_item_pairs,mean_p_contam,high_risk_rate,classification
math500,6000,0.5839162468910217,0.6335,compromised
math,12000,0.5668615102767944,0.6146666666666667,compromised
livecodebench,4800,0.5622443556785583,0.62625,compromised
humaneval,1968,0.4841001629829407,0.5132113821138211,compromised
aime2024,1080,0.35313913226127625,0.3074074074074074,compromised
gsm8k_test,12000,0.30694469809532166,0.26716666666666666,compromised
truthfulqa_mc,9804,0.26132723689079285,0.15962872297021624,salvageable
mbpp,6000,0.2565353512763977,0.184,salvageable
arc_challenge,12000,0.22488538920879364,0.12675,salvageable
bbh,11988,0.1757224202156067,0.11019352686019353,salvageable
agieval,11988,0.16858066618442535,0.060977644310977644,salvageable
mmlu_test,11628,0.12567554414272308,0.04102167182662539,clean
hellaswag_val,12000,0.06684576719999313,0.0023333333333333335,clean
