model,benchmark,full_acc,full_n,clean_acc,clean_n,contam_acc,contam_n,full_minus_clean,clean_minus_contam
EleutherAI/pythia-1b,gsm8k_test,0.009,1000,0.00631911532385466,633,0.0,1,0.002680884676145339,0.00631911532385466
EleutherAI/pythia-1b,mmlu_test,0.22910216718266255,969,0.23134328358208955,670,0.0,1,-0.0022411163994270067,0.23134328358208955
EleutherAI/pythia-1b,hellaswag_val,0.029,1000,0.027190332326283987,993,,0,0.0018096676737160144,
EleutherAI/pythia-1b,arc_challenge,0.23,1000,0.2549019607843137,357,0.15384615384615385,26,-0.024901960784313698,0.10105580693815985
EleutherAI/pythia-1b,humaneval,0.024390243902439025,164,0.0,5,0.047619047619047616,63,0.024390243902439025,-0.047619047619047616
microsoft/phi-4,gsm8k_test,0.443,1000,0.5952380952380952,42,0.354251012145749,494,-0.15223809523809523,0.24098708309234623
microsoft/phi-4,mmlu_test,0.7327141382868937,969,0.8,440,0.6329113924050633,79,-0.06728586171310635,0.1670886075949367
microsoft/phi-4,hellaswag_val,0.034,1000,0.051075268817204304,372,0.0,22,-0.017075268817204302,0.051075268817204304
microsoft/phi-4,arc_challenge,0.263,1000,0.3,40,0.31203931203931207,407,-0.03699999999999998,-0.012039312039312078
microsoft/phi-4,humaneval,0.10365853658536585,164,0.0,2,0.11940298507462686,134,0.10365853658536585,-0.11940298507462686
meta-llama/Llama-3.1-8B,gsm8k_test,0.184,1000,0.2608695652173913,69,0.1091703056768559,229,-0.0768695652173913,0.1516992595405354
meta-llama/Llama-3.1-8B,mmlu_test,0.6439628482972136,969,0.6617647058823529,340,0.5918367346938775,49,-0.017801857585139302,0.06992797118847538
meta-llama/Llama-3.1-8B,hellaswag_val,0.413,1000,0.4171180931744312,923,,0,-0.004118093174431237,
meta-llama/Llama-3.1-8B,arc_challenge,0.788,1000,0.8507462686567164,67,0.7763578274760383,313,-0.0627462686567164,0.07438844118067811
meta-llama/Llama-3.1-8B,humaneval,0.09146341463414634,164,,0,0.0896551724137931,145,,
allenai/OLMo-2-1124-7B,gsm8k_test,0.307,1000,0.3333333333333333,3,0.3142857142857143,840,-0.02633333333333332,0.019047619047619035
allenai/OLMo-2-1124-7B,mmlu_test,0.587203302373581,969,0.6167247386759582,287,0.5384615384615384,65,-0.029521436302377246,0.07826320021441979
allenai/OLMo-2-1124-7B,hellaswag_val,0.569,1000,0.5342465753424658,438,,0,0.03475342465753417,
allenai/OLMo-2-1124-7B,arc_challenge,0.762,1000,0.7603305785123967,121,0.7211538461538461,208,0.0016694214876032953,0.03917673235855057
allenai/OLMo-2-1124-7B,humaneval,0.042682926829268296,164,0.0,2,0.03225806451612903,93,0.042682926829268296,-0.03225806451612903
google/gemma-2-9b,gsm8k_test,0.668,1000,0.7513513513513513,370,0.40540540540540543,74,-0.0833513513513513,0.3459459459459459
google/gemma-2-9b,mmlu_test,0.6749226006191951,969,0.6759956942949408,929,1.0,1,-0.0010730936757457066,-0.3240043057050592
google/gemma-2-9b,hellaswag_val,0.641,1000,0.641,1000,,0,0.0,
google/gemma-2-9b,arc_challenge,0.9,1000,0.9129464285714286,896,0.8,5,-0.012946428571428581,0.11294642857142856
google/gemma-2-9b,humaneval,0.07317073170731707,164,0.09523809523809523,42,0.05263157894736842,19,-0.022067363530778164,0.042606516290726815
EleutherAI/pythia-6.9b,gsm8k_test,0.018,1000,0.0165016501650165,303,0.0,9,0.0014983498349834985,0.0165016501650165
EleutherAI/pythia-6.9b,mmlu_test,0.19711042311661506,969,0.2227891156462585,588,0.3333333333333333,9,-0.025678692529643443,-0.11054421768707481
EleutherAI/pythia-6.9b,hellaswag_val,0.071,1000,0.0737527114967462,922,,0,-0.0027527114967462046,
EleutherAI/pythia-6.9b,arc_challenge,0.188,1000,0.13836477987421383,159,0.23076923076923078,78,0.04963522012578617,-0.09240445089501695
EleutherAI/pythia-6.9b,humaneval,0.042682926829268296,164,0.0,1,0.05454545454545454,110,0.042682926829268296,-0.05454545454545454
