method,v1_dev_F1,v1_val_F1,v1_val_AUC,v2_dev_F1,v2_val_F1,v2_val_AUC
ngram13_pile,0.6674082313681868,0.6604089842440496,0.4934975,0.6717420510523959,0.6628532974427994,0.49901999999999996
ngram13_fineweb,0.6672597864768683,0.6622073578595318,0.495,0.671892497200448,0.6637613141133087,0.498497
ngram13_self,1.0,0.9984977466199298,0.9984925,1.0,0.9984977466199298,0.9984879999999999
mink_5,1.0,1.0,1.0,0.9993337774816788,1.0,1.0
mink_10,1.0,1.0,1.0,0.9993337774816788,0.9995002498750625,1.0
mink_20,1.0,1.0,1.0,0.9993337774816788,0.9995002498750625,1.0
mink_30,1.0,1.0,1.0,0.9993337774816788,0.9995002498750625,1.0
mink_50,1.0,1.0,1.0,0.9993337774816788,0.9995002498750625,1.0
loss_ft,1.0,1.0,1.0,0.9993337774816788,0.9995002498750625,1.0
loss_base,0.6757369614512472,0.6327880264531848,0.42809699999999995,0.6712911165808906,0.6666666666666666,0.556181
refmodel_delta,0.998003992015968,0.9924509310518369,0.999932,0.9940159574468085,0.9622348680807036,0.998846
embsim_self,1.0,1.0,1.0,0.9993337774816788,0.9995002498750625,0.9997715
ENSEMBLE (10-feat),1.0,0.9974937343358395,0.997075,0.9996667777407531,0.9995002498750625,1.0
