benchmark,mean_p,high_risk_rate,n,classification
math500,0.2863397281089887,0.24483333333333332,6000,compromised
math,0.266445409330662,0.21941666666666668,12000,compromised
livecodebench,0.23878598622439645,0.15166666666666667,4800,compromised
humaneval,0.17072257956653022,0.08333333333333333,1968,salvageable
aime2024,0.11956932754324756,0.07592592592592592,1080,salvageable
gsm8k_test,0.07503090064467907,0.01875,12000,clean
mbpp,0.06123603099308166,0.019666666666666666,6000,clean
truthfulqa_mc,0.049133513883528275,0.0032639738882088943,9804,clean
arc_challenge,0.04137758950121528,0.005333333333333333,12000,clean
bbh,0.03393730082901462,0.005922589255922589,11988,clean
agieval,0.025767673079119355,0.0045045045045045045,11988,clean
mmlu_test,0.016504325193021356,0.001805985552115583,11628,clean
hellaswag_val,0.0048836293702719654,0.0,12000,clean
