variant,epochs,ngram13_pile_f1,ngram13_pile_auc,ngram13_fineweb_f1,ngram13_fineweb_auc,mink_5_f1,mink_5_auc,mink_10_f1,mink_10_auc,mink_20_f1,mink_20_auc,mink_30_f1,mink_30_auc,mink_50_f1,mink_50_auc,loss_ft_f1,loss_ft_auc,loss_base_f1,loss_base_auc,refmodel_delta_f1,refmodel_delta_auc,ensemble_f1,ensemble_auc,verbatim_rate
A,1,0.6666666666666666,0.5,0.6666666666666666,0.5,0.8297674418604651,0.907232,0.8640776699029126,0.9306639999999999,0.8669856459330143,0.936492,0.86,0.932792,0.848,0.920464,0.8368663594470046,0.912256,0.6666666666666666,0.52124,0.8091743119266055,0.851152,0.8961424332344213,0.9636440000000001,0.0
A,5,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.521228,0.991044776119403,0.9997159999999999,1.0,1.0,0.23
A,10,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5212600000000001,0.996,0.999948,1.0,1.0,0.72
A,50,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5212319999999999,0.998,0.999988,1.0,1.0,1.0
B,1,0.6821282401091405,0.5031982942430704,0.6825938566552902,0.5042643923240938,0.8554913294797688,0.9077057569296374,0.8748748748748749,0.9264264392324094,0.8802281368821293,0.9321876332622601,0.882466281310212,0.9307164179104479,0.8731848983543078,0.9229850746268657,0.8625498007968128,0.91536460554371,0.6807351940095303,0.5206268656716417,0.9037328094302554,0.9509168443496802,0.9492537313432836,0.9721023454157783,0.0
B,5,0.6821282401091405,0.5031982942430704,0.6825938566552902,0.5042643923240938,0.9859154929577465,0.9986567164179105,0.994994994994995,0.9998166311300639,0.994994994994995,0.9999317697228145,0.994994994994995,0.9999360341151385,0.9960159362549801,0.9999445628997868,0.994994994994995,0.9999402985074627,0.6807351940095303,0.52063539445629,0.9861932938856016,0.9954200426439233,0.9960079840319361,0.9999189765458422,0.37
B,10,0.6821282401091405,0.5031982942430704,0.6825938566552902,0.5042643923240938,0.992992992992993,0.9997441364605544,0.9960159362549801,0.9999616204690832,0.996996996996997,0.9999829424307036,0.996996996996997,0.9999872068230278,0.996996996996997,0.9999829424307036,0.996996996996997,0.9999829424307036,0.6807351940095303,0.5206268656716417,0.9880478087649402,0.9968614072494669,0.998003992015968,0.9999786780383795,0.9
B,50,0.6821282401091405,0.5031982942430704,0.6825938566552902,0.5042643923240938,0.998998998998999,1.0,0.998998998998999,1.0,0.998998998998999,1.0,0.998998998998999,1.0,0.998998998998999,1.0,0.998998998998999,1.0,0.6807351940095303,0.5206268656716417,0.9900398406374502,0.9981663113006397,0.999000999000999,1.0,1.0
C,1,0.6666666666666666,0.5,0.6666666666666666,0.5,0.8261306532663316,0.8871459999999999,0.8544502617801047,0.9161079999999999,0.8673469387755102,0.937176,0.8766839378238342,0.9430520000000001,0.8732673267326733,0.946732,0.8676923076923077,0.9389599999999999,0.6666666666666666,0.510004,0.8990654205607477,0.9276679999999999,0.9393034825870646,0.981572,0.0
C,5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.996,0.9983719999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.510004,0.996,0.999952,1.0,1.0,0.62
C,10,0.6666666666666666,0.5,0.6666666666666666,0.5,0.996,0.9999279999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.510004,0.9950248756218906,0.999688,1.0,1.0,0.84
C,50,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.510004,1.0,1.0,1.0,1.0,1.0
D,1,0.6666666666666666,0.502,0.6666666666666666,0.501,0.8484848484848485,0.9156079999999999,0.8693069306930693,0.9348319999999999,0.878,0.945692,0.8792079207920792,0.9464319999999999,0.8764705882352941,0.9399560000000001,0.8695652173913043,0.932248,0.6675585284280936,0.597964,0.7663366336633664,0.8436,0.9334657398212513,0.980004,0.01
D,5,0.6666666666666666,0.502,0.6666666666666666,0.500002,0.9930348258706467,0.999904,1.0,1.0,0.998,0.999996,0.998,0.999996,0.998,0.999996,0.998,0.999996,0.6671232876712329,0.613236,0.9619512195121951,0.990896,1.0,1.0,0.33
D,10,0.6666666666666666,0.500004,0.6666666666666666,0.500002,0.998,0.999708,0.998,0.999988,0.998,0.999992,0.998,0.999992,0.998,0.999992,0.998,0.999992,0.6675585284280936,0.6071519999999999,0.9733990147783251,0.995908,0.998,0.999996,0.72
D,50,0.6666666666666666,0.502,0.6666666666666666,0.501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6688963210702341,0.6038920000000001,0.9900990099009901,0.997152,0.999000999000999,1.0,1.0
