dropped,val_f1,val_auc,correct_dir_pct,mean_gap_pp,n_cells
(none),0.9995002498750625,1.0,0.75,-6.449390780198481,4
ngram13_pile,0.9995002498750625,1.0,0.75,-6.449390780198481,4
ngram13_fineweb,0.9995002498750625,1.0,0.75,-6.449390780198481,4
mink_5,0.9995002498750625,1.0,0.5,-9.799529369173682,2
mink_10,0.9995002498750625,1.0,0.6666666666666666,-8.381603756224585,3
mink_20,0.9995002498750625,1.0,0.75,-6.3405481665669745,4
mink_30,0.9995002498750625,1.0,0.75,-7.404471666314663,4
mink_50,0.9995002498750625,1.0,0.75,-8.232349671662107,4
loss_ft,0.9995002498750625,1.0,0.75,-7.6393716823868045,4
loss_base,0.9995002498750625,1.0,0.8333333333333334,-5.5159862886473165,6
refmodel_delta,0.9995002498750625,1.0,0.375,-1.3641094278662562,8
