benchmark,mink_10_gap,mink_10_p,mink_20_gap,mink_20_p,mink_30_gap,mink_30_p,mink_50_gap,mink_50_p,mink_5_gap,mink_5_p,model,n_clean,n_contam,v2_gap,v2_p
gsm8k_test,0.0,0.7494,0.005,0.8744,0.0,0.7574,0.005,0.8738,0.005,0.8792,EleutherAI__pythia-1b,500,500,-0.006,0.2466
mmlu_test,-0.1185567010309278,0.0022,-0.05670103092783507,0.1114,-0.041237113402061876,0.1984,0.005154639175257741,0.608,-0.10309278350515463,0.0092,EleutherAI__pythia-1b,485,485,0.004123711340206199,0.5848
hellaswag_val,-0.065,0.0004,-0.08,0.0,-0.07,0.0004,-0.065,0.0018,-0.010000000000000002,0.374,EleutherAI__pythia-1b,500,500,0.03,0.9994
arc_challenge,0.03,0.7916,0.03,0.8054,0.004999999999999977,0.5978,0.014999999999999986,0.6718,-0.02380597014925373,0.3292,EleutherAI__pythia-1b,500,500,0.015999999999999986,0.7558
humaneval,0.09090909090909091,1.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.06060606060606061,1.0,0.030303030303030304,0.8834,EleutherAI__pythia-1b,82,82,-0.024390243902439022,0.2886
mbpp,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,EleutherAI__pythia-1b,250,250,0.0,1.0
gsm8k_test,0.01,0.8932,0.005000000000000001,0.7822,-0.004999999999999999,0.4962,-0.015,0.173,0.015,0.97,EleutherAI__pythia-2.8b,500,500,-0.009999999999999998,0.168
mmlu_test,-0.020618556701030938,0.3626,-0.030927835051546393,0.256,-0.04639175257731959,0.1636,-0.04123711340206185,0.1952,-0.06701030927835053,0.0654,EleutherAI__pythia-2.8b,485,485,0.022680412371134023,0.8106
hellaswag_val,-0.13499999999999998,0.0002,-0.17,0.0,-0.15500000000000003,0.0,-0.12500000000000003,0.0012,-0.10499999999999998,0.0068,EleutherAI__pythia-2.8b,500,500,0.092,1.0
arc_challenge,-0.04999999999999999,0.151,-0.010000000000000009,0.4564,-0.04000000000000001,0.19,-0.040000000000000036,0.216,-0.034999999999999976,0.2488,EleutherAI__pythia-2.8b,500,500,0.036000000000000004,0.9168
humaneval,0.06060606060606061,0.9432,0.09090909090909091,1.0,0.09090909090909091,1.0,0.12121212121212122,1.0,0.0,0.7502,EleutherAI__pythia-2.8b,82,82,-0.03658536585365854,0.1842
gsm8k_test,0.01,0.8938,0.01,0.8932,0.01,0.8914,0.01,0.8908,0.01,0.8914,EleutherAI__pythia-410m,500,500,-0.004,0.3788
mmlu_test,-0.04123711340206185,0.1726,-0.05670103092783507,0.0884,-0.04639175257731959,0.1366,0.010309278350515455,0.661,-0.07216494845360824,0.0454,EleutherAI__pythia-410m,485,485,-0.006185567010309284,0.4356
hellaswag_val,-0.035,0.0216,-0.04,0.004,-0.04,0.0032,-0.05,0.0006,-0.01,0.3434,EleutherAI__pythia-410m,500,500,0.03,1.0
arc_challenge,-0.020000000000000018,0.3478,0.0,0.5576,-0.03,0.2876,0.020000000000000018,0.7352,-0.0050000000000000044,0.5008,EleutherAI__pythia-410m,500,500,-0.020000000000000018,0.249
humaneval,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.0,0.7536,EleutherAI__pythia-410m,82,82,0.0,0.7332
gsm8k_test,0.0,0.6898,-0.004999999999999999,0.4984,-0.004999999999999999,0.499,-0.01,0.339,0.005,0.8752,EleutherAI__pythia-6.9b,500,500,-0.004,0.403
mmlu_test,-0.1288659793814433,0.002,-0.09793814432989689,0.0088,-0.11340206185567009,0.0048,-0.06701030927835053,0.062,-0.07731958762886598,0.0404,EleutherAI__pythia-6.9b,485,485,0.08041237113402061,0.9992
hellaswag_val,-0.10499999999999998,0.0008,-0.135,0.0,-0.145,0.0,-0.13,0.0,-0.075,0.0058,EleutherAI__pythia-6.9b,500,500,0.074,1.0
arc_challenge,0.014999999999999986,0.6936,-0.010000000000000009,0.4446,-0.010000000000000009,0.4498,-0.025000000000000022,0.2982,0.06,0.9554,EleutherAI__pythia-6.9b,500,500,-0.016000000000000014,0.298
humaneval,0.09090909090909091,1.0,0.09090909090909091,1.0,0.12121212121212122,1.0,0.09090909090909091,1.0,0.0,0.7596,EleutherAI__pythia-6.9b,82,82,-0.06097560975609756,0.0544
mbpp,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,EleutherAI__pythia-6.9b,250,250,0.0,1.0
gsm8k_test,0.0,1.0,0.0,1.0,-0.005,0.511,-0.005,0.4986,0.0,1.0,EleutherAI__pythia-70m,500,500,0.002,1.0
mmlu_test,-0.005154639175257732,0.5076,0.0,0.7554,0.005154639175257732,0.8772,0.005154639175257732,0.88,0.0,0.7592,EleutherAI__pythia-70m,485,485,-0.002061855670103093,0.4944
hellaswag_val,0.0,1.0,0.0,1.0,0.0,1.0,0.005,1.0,0.0,1.0,EleutherAI__pythia-70m,500,500,-0.002,0.4926
arc_challenge,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,EleutherAI__pythia-70m,500,500,0.0,1.0
humaneval,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,EleutherAI__pythia-70m,82,82,0.0,1.0
gsm8k_test,0.005,1.0,-0.005,0.5038,-0.005,0.5038,-0.005,0.5038,0.015,1.0,Qwen__Qwen2.5-14B,500,500,-0.002,0.4962
mmlu_test,0.015463917525773141,0.6828,-0.015463917525773252,0.4098,0.020618556701030966,0.7172,-0.005154639175257714,0.4968,-0.005154639175257714,0.499,Qwen__Qwen2.5-14B,485,485,0.02268041237113394,0.8204
hellaswag_val,0.09499999999999997,0.9996,0.15499999999999992,1.0,0.16999999999999993,1.0,0.17999999999999994,1.0,-0.025000000000000022,0.2532,Qwen__Qwen2.5-14B,500,500,-0.05999999999999994,0.0014
arc_challenge,0.009999999999999898,0.7428,0.03500000000000003,0.9256,0.04500000000000004,0.9622,0.030000000000000027,0.8996,0.029999999999999916,0.9182,Qwen__Qwen2.5-14B,500,500,-0.027999999999999914,0.0488
humaneval,-0.09090909090909091,0.2526,-0.09090909090909091,0.237,-0.12121212121212122,0.1326,-0.15151515151515152,0.0794,-0.12121212121212122,0.1764,Qwen__Qwen2.5-14B,82,82,0.060975609756097546,0.9306
mbpp,0.01,1.0,0.01,1.0,0.01,1.0,0.01,1.0,0.0,1.0,Qwen__Qwen2.5-14B,250,250,-0.004,0.4938
gsm8k_test,-0.0049999999999999975,0.4998,0.0,0.6264,0.0049999999999999975,0.7304,0.0049999999999999975,0.7314,-0.010000000000000002,0.3794,Qwen__Qwen2.5-7B,500,500,-0.004,0.4206
mmlu_test,-0.10824742268041243,0.0128,-0.17525773195876293,0.0002,-0.1649484536082474,0.0004,-0.1649484536082475,0.0,-0.11855670103092786,0.0096,Qwen__Qwen2.5-7B,485,485,0.10103092783505152,0.9998
hellaswag_val,0.16000000000000003,1.0,0.20500000000000007,1.0,0.22000000000000008,1.0,0.20500000000000007,1.0,0.09999999999999998,0.9978,Qwen__Qwen2.5-7B,500,500,-0.10199999999999998,0.0
