model,benchmark,detector,n_clean,n_contam,clean_acc,contam_acc,obs_gap,ci_low,ci_high,perm_p
01-ai__Yi-1.5-9B,gsm8k_test,mink_5,500,500,0.308,0.4,-0.09200000000000003,-0.14999999999999997,-0.033999999999999975,0.0012
01-ai__Yi-1.5-9B,gsm8k_test,mink_10,500,500,0.314,0.394,-0.08000000000000002,-0.138,-0.02200000000000002,0.0042
01-ai__Yi-1.5-9B,gsm8k_test,mink_20,500,500,0.322,0.386,-0.064,-0.122,-0.0020000000000000005,0.0186
01-ai__Yi-1.5-9B,gsm8k_test,mink_30,500,500,0.322,0.386,-0.064,-0.122,-0.005950000000000224,0.0214
01-ai__Yi-1.5-9B,gsm8k_test,mink_50,500,500,0.328,0.38,-0.05199999999999999,-0.11199999999999999,0.007999999999999952,0.056
01-ai__Yi-1.5-9B,gsm8k_test,v2_ensemble,443,33,0.39954853273137697,0.15151515151515152,0.24803338121622545,0.11457692044599493,0.37054518092892813,0.9992
01-ai__Yi-1.5-9B,mmlu_test,mink_5,484,485,0.6735537190082644,0.7072164948453609,-0.033662775837096426,-0.09156311237965417,0.024116149782738253,0.1502
01-ai__Yi-1.5-9B,mmlu_test,mink_10,484,485,0.6590909090909091,0.7216494845360825,-0.0625585754451734,-0.12239094317116808,-0.004779436823719914,0.0184
01-ai__Yi-1.5-9B,mmlu_test,mink_20,484,485,0.6425619834710744,0.7381443298969073,-0.09558234642583285,-0.1533997188378631,-0.037798947772003065,0.0008
01-ai__Yi-1.5-9B,mmlu_test,mink_30,484,485,0.6363636363636364,0.7443298969072165,-0.10796626054358016,-0.16378897929624261,-0.052299458975888176,0.0006
01-ai__Yi-1.5-9B,mmlu_test,mink_50,484,485,0.6322314049586777,0.7484536082474227,-0.116222203288745,-0.17195258583965242,-0.05833858737326439,0.0002
01-ai__Yi-1.5-9B,hellaswag_val,mink_5,500,500,0.81,0.758,0.052000000000000046,0.0020000000000000018,0.10204999999999982,0.979
01-ai__Yi-1.5-9B,hellaswag_val,mink_10,500,500,0.81,0.758,0.052000000000000046,0.0040000000000000036,0.10199999999999998,0.9796
01-ai__Yi-1.5-9B,hellaswag_val,mink_20,500,500,0.818,0.75,0.06799999999999995,0.018000000000000016,0.118,0.9972
01-ai__Yi-1.5-9B,hellaswag_val,mink_30,500,500,0.806,0.762,0.04400000000000004,-0.010000000000000009,0.09599999999999997,0.9622
01-ai__Yi-1.5-9B,hellaswag_val,mink_50,500,500,0.812,0.756,0.05600000000000005,0.0020000000000000018,0.10604999999999971,0.9864
01-ai__Yi-1.5-9B,arc_challenge,mink_5,500,500,0.888,0.886,0.0020000000000000018,-0.038000000000000034,0.040000000000000036,0.5836
01-ai__Yi-1.5-9B,arc_challenge,mink_10,500,500,0.892,0.882,0.010000000000000009,-0.030000000000000027,0.050000000000000044,0.7278
01-ai__Yi-1.5-9B,arc_challenge,mink_20,500,500,0.892,0.882,0.010000000000000009,-0.030000000000000027,0.048049999999999767,0.722
01-ai__Yi-1.5-9B,arc_challenge,mink_30,500,500,0.892,0.882,0.010000000000000009,-0.030000000000000027,0.04800000000000004,0.7202
01-ai__Yi-1.5-9B,arc_challenge,mink_50,500,500,0.89,0.884,0.006000000000000005,-0.03400000000000003,0.04200000000000004,0.6542
01-ai__Yi-1.5-9B,humaneval,mink_5,82,82,0.10975609756097561,0.0975609756097561,0.01219512195121951,-0.07317073170731708,0.10975609756097561,0.6958
01-ai__Yi-1.5-9B,humaneval,mink_10,82,82,0.13414634146341464,0.07317073170731707,0.060975609756097573,-0.024390243902439032,0.15853658536585366,0.9392
01-ai__Yi-1.5-9B,humaneval,mink_20,82,82,0.13414634146341464,0.07317073170731707,0.060975609756097573,-0.024390243902439032,0.15853658536585363,0.944
01-ai__Yi-1.5-9B,humaneval,mink_30,82,82,0.13414634146341464,0.07317073170731707,0.060975609756097573,-0.03658536585365853,0.14634146341463417,0.9388
01-ai__Yi-1.5-9B,humaneval,mink_50,82,82,0.14634146341463414,0.06097560975609756,0.08536585365853658,-0.01219512195121951,0.18292682926829268,0.9762
01-ai__Yi-1.5-9B,mbpp,mink_5,250,250,0.0,0.0,0.0,0.0,0.0,1.0
01-ai__Yi-1.5-9B,mbpp,mink_10,250,250,0.0,0.0,0.0,0.0,0.0,1.0
01-ai__Yi-1.5-9B,mbpp,mink_20,250,250,0.0,0.0,0.0,0.0,0.0,1.0
01-ai__Yi-1.5-9B,mbpp,mink_30,250,250,0.0,0.0,0.0,0.0,0.0,1.0
01-ai__Yi-1.5-9B,mbpp,mink_50,250,250,0.0,0.0,0.0,0.0,0.0,1.0
01-ai__Yi-1.5-9B,mbpp,v2_ensemble,264,84,0.0,0.0,0.0,0.0,0.0,1.0
01-ai__Yi-1.5-9B,truthfulqa_mc,mink_5,408,409,0.553921568627451,0.5183374083129584,0.03558416031449263,-0.030544519152404297,0.10165276379500449,0.863
01-ai__Yi-1.5-9B,truthfulqa_mc,mink_10,408,409,0.5392156862745098,0.5330073349633252,0.006208351311184579,-0.062425391917158006,0.07483625173785889,0.594
01-ai__Yi-1.5-9B,truthfulqa_mc,mink_20,408,409,0.5441176470588235,0.5281173594132029,0.01600028764562056,-0.05010442135289327,0.08209900402703874,0.6964
01-ai__Yi-1.5-9B,truthfulqa_mc,mink_30,408,409,0.5416666666666666,0.530562347188264,0.011104319478402624,-0.05497701831343791,0.07491085982070063,0.645
01-ai__Yi-1.5-9B,truthfulqa_mc,mink_50,408,409,0.5416666666666666,0.530562347188264,0.011104319478402624,-0.05743968430893141,0.08207533318951048,0.6462
EleutherAI__pythia-1b,gsm8k_test,mink_5,500,500,0.012,0.006,0.006,-0.004,0.018000000000000002,0.9166
EleutherAI__pythia-1b,gsm8k_test,mink_10,500,500,0.01,0.008,0.002,-0.01,0.013999999999999999,0.7426
EleutherAI__pythia-1b,gsm8k_test,mink_20,500,500,0.01,0.008,0.002,-0.01,0.014,0.7464
EleutherAI__pythia-1b,gsm8k_test,mink_30,500,500,0.014,0.004,0.01,-0.002,0.022,0.9812
EleutherAI__pythia-1b,gsm8k_test,mink_50,500,500,0.016,0.002,0.014,0.004,0.026000000000000002,0.9984
EleutherAI__pythia-1b,mmlu_test,mink_5,484,485,0.22727272727272727,0.2309278350515464,-0.003655107778819139,-0.055361676748743274,0.04804347363039935,0.484
EleutherAI__pythia-1b,mmlu_test,mink_10,484,485,0.2190082644628099,0.23917525773195877,-0.020166993269148864,-0.07599663457442277,0.035554336712959,0.2458
EleutherAI__pythia-1b,mmlu_test,mink_20,484,485,0.2128099173553719,0.24536082474226803,-0.032550907386896116,-0.08425385532930049,0.019055444321376826,0.1284
EleutherAI__pythia-1b,mmlu_test,mink_30,484,485,0.22727272727272727,0.2309278350515464,-0.003655107778819139,-0.05731138706654171,0.048009925875436406,0.4882
EleutherAI__pythia-1b,mmlu_test,mink_50,484,485,0.2334710743801653,0.22474226804123712,0.008728806338928169,-0.04494376757263357,0.0624266209423192,0.651
EleutherAI__pythia-1b,hellaswag_val,mink_5,500,500,0.026,0.032,-0.006000000000000002,-0.026000000000000002,0.014000000000000002,0.3572
EleutherAI__pythia-1b,hellaswag_val,mink_10,500,500,0.014,0.044,-0.03,-0.05005,-0.009999999999999998,0.0046
EleutherAI__pythia-1b,hellaswag_val,mink_20,500,500,0.008,0.05,-0.042,-0.062000000000000006,-0.022000000000000002,0.0
EleutherAI__pythia-1b,hellaswag_val,mink_30,500,500,0.01,0.048,-0.038,-0.060000000000000005,-0.019999999999999997,0.0
EleutherAI__pythia-1b,hellaswag_val,mink_50,500,500,0.01,0.048,-0.038,-0.058050000000000004,-0.018,0.0
