,,clean_acc,clean_acc,clean_minus_contam,clean_minus_contam,clean_n,clean_n,contam_acc,contam_acc,contam_n,contam_n
ensemble,,v1,v2,v1,v2,v1,v2,v1,v2,v1,v2
model,benchmark,,,,,,,,,,
EleutherAI/pythia-1b,arc_challenge,0.2549019607843137,0.23210633946830267,0.10105580693815985,,357.0,978.0,0.15384615384615385,,26.0,0.0
EleutherAI/pythia-1b,gsm8k_test,0.00631911532385466,0.009,0.00631911532385466,,633.0,1000.0,0.0,,1.0,0.0
EleutherAI/pythia-1b,hellaswag_val,0.02920443101711984,0.029,,,993.0,1000.0,,,0.0,0.0
EleutherAI/pythia-1b,humaneval,0.0,0.009523809523809525,-0.047619047619047616,,5.0,105.0,0.047619047619047616,,63.0,0.0
EleutherAI/pythia-1b,mmlu_test,0.23134328358208955,0.22910216718266255,0.23134328358208955,,670.0,969.0,0.0,,1.0,0.0
EleutherAI/pythia-2.8b,arc_challenge,0.2786885245901639,0.24446786090621708,0.014537581193937499,-0.7555321390937829,244.0,949.0,0.2641509433962264,1.0,53.0,1.0
EleutherAI/pythia-2.8b,gsm8k_test,0.007792207792207792,0.017034068136272545,0.007792207792207792,,385.0,998.0,0.0,,3.0,0.0
EleutherAI/pythia-2.8b,hellaswag_val,0.20319148936170212,0.2,,,940.0,1000.0,,,0.0,0.0
EleutherAI/pythia-2.8b,humaneval,0.0,0.014084507042253521,-0.039603960396039604,0.014084507042253521,2.0,71.0,0.039603960396039604,0.0,101.0,2.0
EleutherAI/pythia-2.8b,mmlu_test,0.24825174825174826,0.2354771784232365,-0.15174825174825177,,572.0,964.0,0.4,,5.0,0.0
EleutherAI/pythia-410m,arc_challenge,0.21107266435986158,0.21975806451612903,-0.07464162135442412,,578.0,992.0,0.2857142857142857,,7.0,0.0
EleutherAI/pythia-410m,gsm8k_test,0.00631911532385466,0.01,,,633.0,1000.0,,,0.0,0.0
EleutherAI/pythia-410m,hellaswag_val,0.01701701701701702,0.017,,,999.0,1000.0,,,0.0,0.0
EleutherAI/pythia-410m,humaneval,0.0,0.007575757575757576,-0.029411764705882353,,9.0,132.0,0.029411764705882353,,34.0,0.0
EleutherAI/pythia-410m,mmlu_test,0.19283065512978986,0.1826625386996904,,,809.0,969.0,,,0.0,0.0
