model,benchmark,n_clean,n_contam,observed_gap,clean_acc,MDE_80power,abs_obs_gap,reached_MDE,se_approx
Qwen/Qwen2.5-14B,gsm8k_test,424,48,0.0070754716981132,0.0070754716981132,0.031738569138626244,0.0070754716981132,0.0,0.01276448422725365
Qwen/Qwen2.5-14B,arc_challenge,767,22,-0.0184307218205523,0.9361147327249022,0.1314856779803801,0.0184307218205523,0.0,0.0528803568730433
Qwen/Qwen2.5-14B,mbpp,288,63,0.0,0.0,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-32B,gsm8k_test,374,49,0.0240641711229946,0.0240641711229946,0.057891726272646174,0.0240641711229946,0.0,0.02328265094964084
Qwen/Qwen2.5-32B,mmlu_test,792,16,-0.0366161616161616,0.8383838383838383,0.23111653292009857,0.0366161616161616,0.0,0.09294947501353669
Qwen/Qwen2.5-32B,arc_challenge,759,22,-0.0513833992094862,0.9486166007905138,0.11872280176752775,0.0513833992094862,0.0,0.04774743700504965
Qwen/Qwen2.5-32B,mbpp,340,50,-0.0170588235294117,0.0029411764705882,0.020394489908472032,0.0170588235294117,0.0,0.00820217016156396
Qwen/Qwen2.5-7B,gsm8k_test,290,80,0.0185344827586206,0.0310344827586206,0.054452441738932794,0.0185344827586206,0.0,0.021899453963290433
Qwen/Qwen2.5-7B,arc_challenge,815,14,-0.0267309377738825,0.901840490797546,0.1994112105894472,0.0267309377738825,0.0,0.08019836184766102
Qwen/Qwen2.5-7B,mbpp,353,47,-0.0553312036646374,0.0084985835694051,0.0354403278518273,0.0553312036646374,1.0,0.01425324197500758
Qwen/Qwen3-8B,humaneval,82,10,-0.1146341463414634,0.0853658536585365,0.23272168861251702,0.1146341463414634,0.0,0.09359502977779437
allenai/OLMo-2-1124-7B,gsm8k_test,205,126,-0.1620983352690669,0.2585365853658536,0.12323717496405746,0.1620983352690669,1.0,0.0495630086274298
google/gemma-2-27b,mbpp,409,13,0.0,0.0,0.0,0.0,1.0,0.0
meta-llama/Llama-3.1-8B,arc_challenge,726,14,0.0777253049980322,0.7920110192837465,0.27230359789591074,0.0777253049980322,0.0,0.10951391555130509
meta-llama/Llama-3.1-8B,humaneval,19,24,-0.0614035087719298,0.1052631578947368,0.2343266785500407,0.0614035087719298,0.0,0.0942405178794457
meta-llama/Llama-3.1-8B,mbpp,397,11,0.0,0.0,0.0,0.0,1.0,0.0
microsoft/Phi-3.5-mini-instruct,gsm8k_test,540,57,0.0829434697855751,0.6092592592592593,0.16895939559090117,0.0829434697855751,0.0,0.06795137898770809
microsoft/Phi-3.5-mini-instruct,humaneval,15,30,-0.0333333333333333,0.1333333333333333,0.2672880161361639,0.0333333333333333,0.0,0.107496769977314
microsoft/Phi-3.5-mini-instruct,mbpp,392,36,0.0,0.0,0.0,0.0,1.0,0.0
microsoft/phi-4,arc_challenge,637,30,-0.0947148090005232,0.23861852433281,0.19800213676480025,0.0947148090005232,0.0,0.07963166646416144
microsoft/phi-4,humaneval,33,20,-0.0196969696969697,0.0303030303030303,0.12078446749770673,0.0196969696969697,0.0,0.048576589055975346
microsoft/phi-4,mbpp,303,43,0.0,0.0,0.0,0.0,1.0,0.0
mistralai/Mistral-7B-v0.3,gsm8k_test,400,12,0.135,0.135,0.24893559481523553,0.135,0.0,0.10011587037028645
mistralai/Mistral-7B-v0.3,humaneval,51,11,-0.0837789661319073,0.0980392156862745,0.24580585799602309,0.0837789661319073,0.0,0.09885716598163544
Qwen/Qwen3-8B,humaneval_sandbox,82,10,-0.1512195121951218,0.5487804878048781,0.4144425399746857,0.1512195121951218,0.0,0.16667875736627463
meta-llama/Llama-3.1-8B,humaneval_sandbox,19,24,0.0153508771929824,0.4736842105263157,0.38124445242739063,0.0153508771929824,0.0,0.15332729016491561
microsoft/Phi-3.5-mini-instruct,humaneval_sandbox,15,30,0.1,0.8,0.3145169561602621,0.1,0.0,0.12649110640673517
microsoft/phi-4,humaneval_sandbox,33,20,-0.1348484848484848,0.5151515151515151,0.3521442098118168,0.1348484848484848,0.0,0.14162387700053047
mistralai/Mistral-7B-v0.3,humaneval_sandbox,51,11,-0.160427807486631,0.2941176470588235,0.37663891545217,0.160427807486631,0.0,0.15147505467750377
