model,benchmark,ensemble,n_total,n_clean_lt_0.1,n_mid,n_contam_gt_0.5,frac_contam
EleutherAI/pythia-1b,agieval,v1,999,652,346,1,0.001001001001001001
EleutherAI/pythia-1b,aime2024,v1,90,29,60,1,0.011111111111111112
EleutherAI/pythia-1b,arc_challenge,v1,1000,357,617,26,0.026
EleutherAI/pythia-1b,bbh,v1,999,612,377,10,0.01001001001001001
EleutherAI/pythia-1b,gsm8k_test,v1,1000,633,366,1,0.001
EleutherAI/pythia-1b,hellaswag_val,v1,1000,993,7,0,0.0
EleutherAI/pythia-1b,humaneval,v1,164,5,96,63,0.38414634146341464
EleutherAI/pythia-1b,livecodebench,v1,400,5,260,135,0.3375
EleutherAI/pythia-1b,math,v1,1000,53,657,290,0.29
EleutherAI/pythia-1b,math500,v1,500,23,307,170,0.34
EleutherAI/pythia-1b,mbpp,v1,500,37,364,99,0.198
EleutherAI/pythia-1b,mmlu_test,v1,969,670,298,1,0.0010319917440660474
EleutherAI/pythia-1b,truthfulqa_mc,v1,817,78,611,128,0.15667074663402691
EleutherAI/pythia-2.8b,agieval,v1,999,432,560,7,0.007007007007007007
EleutherAI/pythia-2.8b,aime2024,v1,90,15,67,8,0.08888888888888889
EleutherAI/pythia-2.8b,arc_challenge,v1,1000,244,703,53,0.053
EleutherAI/pythia-2.8b,bbh,v1,999,519,419,61,0.06106106106106106
EleutherAI/pythia-2.8b,gsm8k_test,v1,1000,385,612,3,0.003
EleutherAI/pythia-2.8b,hellaswag_val,v1,1000,940,60,0,0.0
EleutherAI/pythia-2.8b,humaneval,v1,164,2,61,101,0.6158536585365854
EleutherAI/pythia-2.8b,livecodebench,v1,400,2,139,259,0.6475
EleutherAI/pythia-2.8b,math,v1,1000,17,467,516,0.516
EleutherAI/pythia-2.8b,math500,v1,500,7,221,272,0.544
EleutherAI/pythia-2.8b,mbpp,v1,500,33,352,115,0.23
EleutherAI/pythia-2.8b,mmlu_test,v1,969,572,392,5,0.005159958720330237
EleutherAI/pythia-2.8b,truthfulqa_mc,v1,817,59,552,206,0.2521419828641371
EleutherAI/pythia-410m,agieval,v1,999,791,207,1,0.001001001001001001
EleutherAI/pythia-410m,aime2024,v1,90,36,54,0,0.0
EleutherAI/pythia-410m,arc_challenge,v1,1000,578,415,7,0.007
