dropped_model,dropped_benchmark,dropped_gap,remaining_v2_n,mannwhitney_p
allenai/OLMo-2-1124-7B,gsm8k_test,-0.1620983352690669,13,0.0014683680761156516
microsoft/phi-4,arc_challenge,-0.0947148090005232,13,0.0014683680761156516
mistralai/Mistral-7B-v0.3,humaneval_sandbox,-0.160427807486631,13,0.0014683680761156516
microsoft/phi-4,humaneval_sandbox,-0.1348484848484848,13,0.0014683680761156516
mistralai/Mistral-7B-v0.3,humaneval,-0.0837789661319073,13,0.001335959437340258
meta-llama/Llama-3.1-8B,humaneval,-0.0614035087719298,13,0.0012145488546577638
Qwen/Qwen2.5-7B,arc_challenge,-0.0267309377738825,13,0.001103315597953596
microsoft/phi-4,humaneval,-0.0196969696969697,13,0.001001491481849778
Qwen/Qwen2.5-14B,arc_challenge,-0.0184307218205523,13,0.001001491481849778
Qwen/Qwen2.5-14B,gsm8k_test,0.0070754716981132,13,0.0007455264245982741
meta-llama/Llama-3.1-8B,humaneval_sandbox,0.0153508771929824,13,0.0006746187079361061
Qwen/Qwen2.5-7B,gsm8k_test,0.0185344827586206,13,0.0006746187079361061
meta-llama/Llama-3.1-8B,arc_challenge,0.0777253049980322,13,0.0002948499549344753
mistralai/Mistral-7B-v0.3,gsm8k_test,0.1375,13,0.00021339580952907882
