model,benchmark,ensemble,evaluator,n_strata,iv_weighted_gap,iv_se,z_stat,p_two_sided,p_correct_direction
01-ai/Yi-1.5-9B,gsm8k_test,v2,phase5_full,3,0.24885525087224675,0.0727864654833994,3.4189769927625324,0.0006285704099231459,0.9996857147950384
01-ai/Yi-1.5-9B,mmlu_test,v1,phase5_full,2,0.13317766041687226,0.04934401766230553,2.698962644839685,0.006955598329368096,0.996522200835316
01-ai/Yi-1.5-9B,mmlu_test,v2,phase5_full,1,0.058524173027989845,0.21172032099336519,0.2764220871827596,0.7822238942273085,0.6088880528863457
01-ai/Yi-1.5-9B,hellaswag_val,v1,phase5_full,2,0.044633286486743966,0.09596264167405852,0.46511106518245876,0.6418519223574006,0.6790740388212997
01-ai/Yi-1.5-9B,arc_challenge,v1,phase5_full,3,-0.024055222136566506,0.049083250292407184,-0.4900902444980843,0.6240700410071853,0.31203502050359266
EleutherAI/pythia-1b,arc_challenge,v1,phase5_full,4,0.1373514615695479,0.03422221033106208,4.013518128748092,5.982040585794657e-05,0.999970089797071
EleutherAI/pythia-2.8b,arc_challenge,v1,phase5_full,4,0.019484963900120313,0.06574224383216254,0.2963842236639304,0.766936672085395,0.6165316639573025
EleutherAI/pythia-6.9b,mmlu_test,v1,phase5_full,1,-0.19112271540469977,0.24583039935609996,-0.7774576126683468,0.43688883309819637,0.21844441654909819
EleutherAI/pythia-6.9b,arc_challenge,v1,phase5_full,4,-0.07818738255465094,0.05449680956014571,-1.4347148610297817,0.1513683676350992,0.07568418381754963
Qwen/Qwen2.5-14B,gsm8k_test,v1,phase5_full,2,-0.00672782874617737,0.004759477076423549,-1.4135646916977935,0.15748975442738145,0.07874487721369078
Qwen/Qwen2.5-14B,gsm8k_test,v2,phase5_full,2,0.010198578185494533,0.006361429055144425,1.6031898017076907,0.10889275635257434,0.9455536218237128
Qwen/Qwen2.5-14B,mmlu_test,v1,phase5_full,2,0.03468325880237763,0.044188741190786474,0.7848890434020607,0.43251862657118734,0.7837406867144063
Qwen/Qwen2.5-14B,mmlu_test,v2,phase5_full,1,0.08533260632497275,0.18525649888463355,0.460618692670602,0.6450721981308749,0.6774639009345625
Qwen/Qwen2.5-14B,hellaswag_val,v1,phase5_full,1,-0.032258064516129004,0.03225806451612904,-0.9999999999999989,0.3173105078629148,0.15865525393145735
Qwen/Qwen2.5-14B,arc_challenge,v1,phase5_full,4,-0.028411467730897373,0.03173098693026523,-0.8953855672165786,0.3705810131940148,0.1852905065970074
