model,benchmark,kmeans4,len_quintile,pred_acc,random_0,random_1,random_2,random_3,random_4
EleutherAI/pythia-1b,truthfulqa_mc,,0.6640167048284297,0.7025337109252601,,,,,
EleutherAI/pythia-6.9b,truthfulqa_mc,,0.9600077683071033,0.9785274382900637,,,,,
Qwen/Qwen2.5-14B,arc_challenge,0.012931810409103775,2.8580847769701385e-05,0.00023148941848826328,8.474327934467353e-08,1.772861257356877e-07,1.332754452626639e-09,2.857388678254359e-10,1.3181575149326902e-05
Qwen/Qwen2.5-14B,gsm8k_test,0.922546654961743,0.9224230136251815,0.9574946799832138,0.9490399586295382,0.9574821325173094,0.9479226224499003,0.9568866573213463,0.9534316542073845
Qwen/Qwen2.5-14B,mmlu_test,0.5912979828935794,0.46739357104634655,0.287909699972789,,,,,
Qwen/Qwen2.5-7B,arc_challenge,2.551581948869388e-05,,1.8977832690145882e-07,6.684734484807388e-05,2.276534520044139e-07,,2.4722121261310254e-06,
Qwen/Qwen2.5-7B,gsm8k_test,0.966517470168474,0.9640723453916656,0.9930261352008019,0.992421219022829,0.9861634327954999,0.988834290696492,0.9947820498761554,0.9825961695982378
allenai/OLMo-2-1124-7B,gsm8k_test,0.0006820829601174435,0.0009862458002773589,0.0006471050111854308,0.0008685289858369834,0.0009088916894275845,0.0009130426812212244,0.00269479310025731,0.001477745472434574
allenai/OLMo-2-1124-7B,truthfulqa_mc,,0.8882771887965034,0.8203917412383961,0.9379946125970321,,,0.8860166410440242,
meta-llama/Llama-3.1-8B,arc_challenge,0.5664070441692353,0.5191252380454112,0.5628191640011615,0.6544500347899527,,0.614525390019692,0.7492622449377688,0.5062178130728213
meta-llama/Llama-3.1-8B,humaneval,0.02640375570805679,0.15267857520025918,0.11740189588906563,0.5374740532472078,0.15865525393145707,0.8056664531830461,0.6236430968684737,0.25593464665362015
meta-llama/Llama-3.1-8B,mmlu_test,1.7933370182829423e-09,5.378674029143028e-18,3.6867601709814113e-25,,,,,
microsoft/phi-4,arc_challenge,0.2819217991174077,0.8155269112027965,0.9998592918562813,0.17237034013604619,0.9999999995286377,0.1523729999160348,0.16194827269084067,0.2727839795019206
microsoft/phi-4,gsm8k_test,,,0.48419495120828093,,,,,
microsoft/phi-4,humaneval,0.15865525393145707,0.32736042300928847,0.2951292256573859,0.6204968657358017,,0.8413447460685429,0.15865525393145707,
microsoft/phi-4,mmlu_test,,0.6633474916593021,0.8318177554463646,,,,,
mistralai/Mistral-7B-v0.3,gsm8k_test,0.9999980264041625,0.9834968711693838,0.9821752557255553,0.9999999703775598,,0.9999969283689562,0.9999922159784325,0.999584084919485
mistralai/Mistral-7B-v0.3,humaneval,,,,0.5292413742427888,0.15865525393145702,0.056923149003329024,,
mistralai/Mistral-7B-v0.3,mmlu_test,0.17255461183213516,0.0779583847126986,0.08478618739566135,,,,,
