model,benchmark,stratifier,ensemble,iv_gap,iv_se,z,p_one,p_two,n_strata
EleutherAI/pythia-1b,truthfulqa_mc,len_quintile,v2,0.08571428571428562,0.2024186562594561,0.42345052228989605,0.6640167048284297,0.6719665903431407,1
EleutherAI/pythia-1b,truthfulqa_mc,pred_acc,v2,0.10714285714285711,0.20150931738241,0.5317017522297941,0.7025337109252601,0.5949325781494799,1
EleutherAI/pythia-6.9b,truthfulqa_mc,len_quintile,v2,0.031578947368421054,0.01803711228819788,1.7507762253652945,0.9600077683071033,0.07998446338579335,1
EleutherAI/pythia-6.9b,truthfulqa_mc,pred_acc,v2,0.031496062992125984,0.015559425512745731,2.0242433093898953,0.9785274382900637,0.042945123419872555,1
Qwen/Qwen2.5-14B,gsm8k_test,kmeans4,v2,0.022727272727272728,0.015977981905300972,1.422411970546328,0.922546654961743,0.15490669007651392,1
Qwen/Qwen2.5-14B,gsm8k_test,len_quintile,v2,0.02040816326530612,0.014356172614544064,1.4215601757693315,0.9224230136251815,0.15515397274963694,1
Qwen/Qwen2.5-14B,gsm8k_test,pred_acc,v2,0.010825809454382865,0.006285578338478642,1.7223251181375203,0.9574946799832138,0.0850106400335724,2
Qwen/Qwen2.5-14B,gsm8k_test,random_0,v2,0.012384269433480548,0.007571626324434685,1.6356155075316907,0.9490399586295382,0.10192008274092368,2
Qwen/Qwen2.5-14B,gsm8k_test,random_1,v2,0.00915409391422275,0.005315390510439028,1.7221865253822453,0.9574821325173094,0.0850357349653812,3
Qwen/Qwen2.5-14B,gsm8k_test,random_2,v2,0.012573774083968047,0.007737532735744678,1.6250366251610977,0.9479226224499003,0.10415475510019934,2
Qwen/Qwen2.5-14B,gsm8k_test,random_3,v2,0.01457027370736287,0.008492582908096881,1.7156469197929738,0.9568866573213463,0.08622668535730749,2
Qwen/Qwen2.5-14B,gsm8k_test,random_4,v2,0.012991150276641697,0.007737070139919496,1.679078778104094,0.9534316542073845,0.09313669158523097,2
Qwen/Qwen2.5-14B,mmlu_test,kmeans4,v2,0.0470588235294117,0.20381919429830278,0.2308851415659019,0.5912979828935794,0.8174040342128412,1
Qwen/Qwen2.5-14B,mmlu_test,len_quintile,v2,-0.01388888888888895,0.16974224534303922,-0.08182340737169061,0.46739357104634655,0.9347871420926931,1
Qwen/Qwen2.5-14B,mmlu_test,pred_acc,v2,-0.08174178762414053,0.14609748951378518,-0.5595016580789891,0.287909699972789,0.575819399945578,1
Qwen/Qwen2.5-14B,arc_challenge,kmeans4,v2,-0.03152594277670119,0.014148275299807231,-2.2282534166642014,0.012931810409103775,0.02586362081820755,2
Qwen/Qwen2.5-14B,arc_challenge,len_quintile,v2,-0.04938696471988668,0.012272396884537285,-4.024231385648245,2.8580847769701385e-05,5.716169553940277e-05,3
Qwen/Qwen2.5-14B,arc_challenge,pred_acc,v2,-0.05815518465000039,0.01660955544031635,-3.5013089217812774,0.00023148941848826328,0.00046297883697652656,2
Qwen/Qwen2.5-14B,arc_challenge,random_0,v2,-0.06807328267787478,0.013015860294301759,-5.230025610191647,8.474327934467353e-08,1.6948655868934707e-07,2
Qwen/Qwen2.5-14B,arc_challenge,random_1,v2,-0.06345140348475067,0.012461346661817972,-5.09185766247625,1.772861257356877e-07,3.545722514713754e-07,3
Qwen/Qwen2.5-14B,arc_challenge,random_2,v2,-0.0578622391447574,0.009723153876592342,-5.95097433190436,1.332754452626639e-09,2.665508905253278e-09,4
Qwen/Qwen2.5-14B,arc_challenge,random_3,v2,-0.06432018172168524,0.01037739816283569,-6.198102907146173,2.857388678254359e-10,5.714777356508718e-10,4
Qwen/Qwen2.5-14B,arc_challenge,random_4,v2,-0.0840513014482278,0.019998873862822127,-4.202801718974738,1.3181575149326902e-05,2.6363150298653804e-05,2
Qwen/Qwen2.5-7B,gsm8k_test,kmeans4,v2,0.015702677756434604,0.008571758952005905,1.8319084617702612,0.966517470168474,0.066965059663052,4
Qwen/Qwen2.5-7B,gsm8k_test,len_quintile,v2,0.016595775459698855,0.009219702384821189,1.8000337502240016,0.9640723453916656,0.07185530921666872,4
Qwen/Qwen2.5-7B,gsm8k_test,pred_acc,v2,0.02737901416107528,0.011135987462190411,2.458606769631718,0.9930261352008019,0.013947729598396297,4
Qwen/Qwen2.5-7B,gsm8k_test,random_0,v2,0.0391482509771685,0.01611972880913069,2.428592406281288,0.992421219022829,0.015157561954342036,3
Qwen/Qwen2.5-7B,gsm8k_test,random_1,v2,0.030483261390269613,0.013844139417114694,2.2018892234344993,0.9861634327954999,0.02767313440900021,3
Qwen/Qwen2.5-7B,gsm8k_test,random_2,v2,0.024769839215484177,0.010841696007821129,2.284683060437719,0.988834290696492,0.02233141860701604,4
Qwen/Qwen2.5-7B,gsm8k_test,random_3,v2,0.029687360353796592,0.011591910837761506,2.561041123357145,0.9947820498761554,0.010435900247689256,4
Qwen/Qwen2.5-7B,gsm8k_test,random_4,v2,0.02092257366631992,0.009913144839417742,2.1105889205941257,0.9825961695982378,0.034807660803524376,4
Qwen/Qwen2.5-7B,arc_challenge,kmeans4,v2,-0.09146341463414631,0.02257881335185635,-4.0508512652471405,2.551581948869388e-05,5.103163897738776e-05,1
Qwen/Qwen2.5-7B,arc_challenge,pred_acc,v2,-0.11274509803921573,0.022198571039456785,-5.078934938596601,1.8977832690145882e-07,3.7955665380291765e-07,1
Qwen/Qwen2.5-7B,arc_challenge,random_0,v2,-0.06574018483609884,0.01721149444844573,-3.8195512326377594,6.684734484807388e-05,0.00013369468969614775,2
