model,benchmark,n,spearman_canary_vs_v2pcontam,canary_mean,p_contam_mean,canary_ge50_frac,p_contam_ge50_frac
meta-llama/Llama-3.1-8B,gsm8k_test,1000,,0.0,0.05582015961408615,0.0,0.0
meta-llama/Llama-3.1-8B,mmlu_test,969,0.027623585838209654,0.025936009362339973,0.02492455020546913,0.0196078431372549,0.006191950464396285
meta-llama/Llama-3.1-8B,hellaswag_val,1000,-0.054546413755209626,0.0011937407543882728,0.00230936030857265,0.0,0.0
meta-llama/Llama-3.1-8B,arc_challenge,1000,-0.058881458767321336,0.0034557634498924017,0.0864805281162262,0.004,0.014
meta-llama/Llama-3.1-8B,humaneval,164,0.22645926475080336,0.007884886115789413,0.29548725485801697,0.0,0.14634146341463414
meta-llama/Llama-3.1-8B,mbpp,500,0.0557560899558759,0.010025338269770145,0.07330048829317093,0.004,0.022
meta-llama/Llama-3.1-8B,truthfulqa_mc,817,-0.0054938309425465025,0.01815124787390232,0.06036161258816719,0.011015911872705019,0.0024479804161566705
allenai/OLMo-2-1124-7B,gsm8k_test,1000,,0.0,0.2692142426967621,0.0,0.126
allenai/OLMo-2-1124-7B,mmlu_test,969,-0.041242401158272726,0.025936009362339973,0.026755910366773605,0.0196078431372549,0.0
allenai/OLMo-2-1124-7B,hellaswag_val,1000,-0.06323620839992945,0.0011937407543882728,0.008468136191368103,0.0,0.0
allenai/OLMo-2-1124-7B,arc_challenge,1000,-0.05140900207328277,0.0034557634498924017,0.0612473338842392,0.004,0.002
allenai/OLMo-2-1124-7B,humaneval,164,0.20649419574213337,0.007884886115789413,0.15853050351142883,0.0,0.012195121951219513
allenai/OLMo-2-1124-7B,mbpp,500,0.02313985140655878,0.010025338269770145,0.020759327337145805,0.004,0.002
allenai/OLMo-2-1124-7B,truthfulqa_mc,817,-0.08792968919524739,0.01815124787390232,0.10944712162017822,0.011015911872705019,0.011015911872705019
microsoft/phi-4,gsm8k_test,1000,,0.0,0.1092529147863388,0.0,0.007
microsoft/phi-4,mmlu_test,969,0.2507597220533155,0.025936009362339973,0.027925720438361168,0.0196078431372549,0.006191950464396285
microsoft/phi-4,hellaswag_val,1000,-0.12055765037159911,0.0011937407543882728,0.016568506136536598,0.0,0.0
microsoft/phi-4,arc_challenge,1000,-0.02853410168718849,0.0034557634498924017,0.11788193881511688,0.004,0.03
microsoft/phi-4,humaneval,164,0.12332050036694625,0.007884886115789413,0.25908327102661133,0.0,0.12195121951219512
microsoft/phi-4,mbpp,500,0.0475056770582941,0.010025338269770145,0.14603549242019653,0.004,0.086
microsoft/phi-4,truthfulqa_mc,817,-0.013762100550136522,0.01815124787390232,0.05039222911000252,0.011015911872705019,0.0012239902080783353
Qwen/Qwen2.5-14B,gsm8k_test,1000,,0.0,0.1716543734073639,0.0,0.048
Qwen/Qwen2.5-14B,mmlu_test,969,-0.07398257490835418,0.025936009362339973,0.048446111381053925,0.0196078431372549,0.009287925696594427
Qwen/Qwen2.5-14B,hellaswag_val,1000,-0.07687669308606539,0.0011937407543882728,0.014000198803842068,0.0,0.0
Qwen/Qwen2.5-14B,arc_challenge,1000,-0.027955998691337833,0.0034557634498924017,0.08123338222503662,0.004,0.022
Qwen/Qwen2.5-14B,humaneval,164,0.09646964922002929,0.007884886115789413,0.6391244530677795,0.0,0.7317073170731707
Qwen/Qwen2.5-14B,mbpp,500,0.05557592255828043,0.010025338269770145,0.1784234195947647,0.004,0.126
Qwen/Qwen2.5-14B,truthfulqa_mc,817,-0.02901943558974149,0.01815124787390232,0.05441262573003769,0.011015911872705019,0.0012239902080783353
