benchmark,iv_gap,iv_se,model,n_clean,n_contam,n_strata,p_two,unstrat_gap
arc_challenge,-0.09130434782608689,0.1848240672703517,ibm-granite__granite-3.1-8b-base,278,10,1,0.621301370262408,0.04820143884892092
arc_challenge,0.16666666666666666,0.07770873402002616,microsoft__phi-4,312,13,1,0.03197195617764881,0.15705128205128205
gsm8k_test,0.08484848484848484,0.16983605926335316,01-ai__Yi-1.5-9B,226,14,1,0.6173634356826332,0.28192161820480405
gsm8k_test,,,Qwen__Qwen2.5-14B,223,29,,,0.013452914798206279
gsm8k_test,,,Qwen__Qwen2.5-32B,183,26,,,0.0273224043715847
gsm8k_test,0.16666666666666666,0.0903876907577734,Qwen__Qwen2.5-7B,140,40,1,0.06519641907813001,0.02857142857142857
gsm8k_test,,,Qwen__Qwen2.5-Coder-7B,266,15,,,0.007518796992481203
gsm8k_test,-0.23809523809523808,0.1730589947494824,Qwen__Qwen2.5-Math-7B,257,16,1,0.1688823569434228,-0.1889591439688716
gsm8k_test,,,allenai__OLMo-2-1124-7B,104,61,,,-0.13776796973518285
gsm8k_test,,,ibm-granite__granite-3.1-8b-base,15,153,,,-0.026143790849673203
gsm8k_test,0.09157509157509158,0.14811857057810124,microsoft__Phi-3.5-mini-instruct,277,24,1,0.5364070610733895,0.17343561973525873
math500,0.13636363636363635,0.16939908920452953,EleutherAI__pythia-6.9b,190,33,1,0.42082864053497016,-0.003987240829346095
math500,,,allenai__OLMo-2-1124-7B,34,246,,,0.07890961262553803
math500,0.5394736842105263,0.1621081888341799,google__gemma-2-27b,192,109,1,0.0008751520097740606,0.5094610091743119
math500,0.7344262295081968,0.13710947680484858,google__gemma-2-9b,288,62,1,8.48518384444219e-08,0.5327060931899641
math500,,,meta-llama__Llama-3.1-8B,73,129,,,0.08866942763088032
math500,0.18595654053956132,0.11629189516693281,microsoft__phi-4,43,272,2,0.10980952076757644,0.2784712722298222
livecodebench,,,EleutherAI__pythia-6.9b,125,12,,,0.0
livecodebench,-0.008708310791562453,0.022478526187596215,Qwen__Qwen2.5-14B,36,208,3,0.6984558313357114,0.24412393162393164
livecodebench,,,allenai__OLMo-2-1124-7B,66,47,,,0.06060606060606061
livecodebench,0.16522733045466093,0.07394160489684999,google__gemma-2-27b,32,121,2,0.025445913569406065,0.13791322314049587
livecodebench,,,google__gemma-2-9b,132,22,,,0.07575757575757576
livecodebench,,,meta-llama__Llama-3.1-8B,42,84,,,0.08333333333333333
livecodebench,,,microsoft__phi-4,63,86,,,0.004245108896271686
humaneval,,,Qwen__Qwen2.5-Math-7B,37,21,,,-0.014157014157014147
humaneval,-0.25,0.16366341767699427,Qwen__Qwen3-8B,82,10,1,0.12663045794761718,-0.11463414634146342
humaneval,,,ibm-granite__granite-3.1-8b-base,22,23,,,0.0
humaneval,,,meta-llama__Llama-3.1-8B,19,24,,,-0.06140350877192982
humaneval,,,microsoft__Phi-3.5-mini-instruct,15,30,,,-0.033333333333333326
humaneval,,,microsoft__phi-4,33,20,,,-0.0196969696969697
humaneval,,,mistralai__Mistral-7B-v0.3,51,11,,,-0.08377896613190731
mbpp,,,01-ai__Yi-1.5-9B,264,84,,,0.0
mbpp,,,Qwen__Qwen2.5-14B,288,63,,,0.0
mbpp,0.004549590536851684,0.011401241206680316,Qwen__Qwen2.5-32B,340,50,2,0.6898611948018734,-0.017058823529411765
mbpp,-0.051377738482278924,0.032809688122901595,Qwen__Qwen2.5-7B,353,47,2,0.11736455209675745,-0.05533120366463745
mbpp,,,Qwen__Qwen2.5-Coder-7B,292,52,,,0.0
mbpp,,,Qwen__Qwen2.5-Math-7B,381,13,,,0.0
mbpp,,,google__gemma-2-27b,409,13,,,0.0
mbpp,,,ibm-granite__granite-3.1-8b-base,392,24,,,0.0
mbpp,,,meta-llama__Llama-3.1-8B,397,11,,,0.0
mbpp,,,microsoft__Phi-3.5-mini-instruct,392,36,,,0.0
mbpp,,,microsoft__phi-4,303,43,,,0.0
